id	city	state	country	lat	lon	u_offset_seconds
3356343	Karasburg	//Karas	Namibia	-28.017	18.75	43200.0
3358416	Bethanie	//Karas	Namibia	-26.483	17.15	43200.0
3356264	Keetmanshoop	//Karas	Namibia	-26.583	18.133	43200.0
3355672	Lüderitz	//Karas	Namibia	-26.648	15.159	43200.0
3354071	Oranjemund	//Karas	Namibia	-28.55	16.433	43200.0
274723	Halba	Aakkâr	Lebanon	34.543	36.08	39600.0
2659303	Oftringen	Aargau	Switzerland	47.317	7.917	43200.0
7285348	Brugg	Aargau	Switzerland	47.486	8.211	43200.0
2661374	Brugg	Aargau	Switzerland	47.481	8.209	43200.0
2659345	Obersiggenthal	Aargau	Switzerland	47.487	8.294	43200.0
2657915	Zofingen	Aargau	Switzerland	47.288	7.946	43200.0
7287639	Zofingen	Aargau	Switzerland	47.289	7.963	43200.0
2657963	Wohlen	Aargau	Switzerland	47.352	8.279	43200.0
2657964	Wohlen	Aargau	Switzerland	46.971	7.357	43200.0
7287600	Wohlen	Aargau	Switzerland	47.353	8.281	43200.0
2658011	Wettingen	Aargau	Switzerland	47.471	8.316	43200.0
7287562	Wettingen	Aargau	Switzerland	47.467	8.341	43200.0
7286625	Neuenhof	Aargau	Switzerland	47.444	8.325	43200.0
7286733	Oftringen	Aargau	Switzerland	47.313	7.939	43200.0
2659645	Möhlin	Aargau	Switzerland	47.559	7.843	43200.0
7287258	Suhr	Aargau	Switzerland	47.375	8.084	43200.0
2661881	Aarau	Aargau	Switzerland	47.393	8.044	43200.0
2659344	Obersiggenthal	Aargau	Switzerland	47.487	8.297	43200.0
7287207	Spreitenbach	Aargau	Switzerland	47.418	8.367	43200.0
2658952	Rothrist	Aargau	Switzerland	47.305	7.892	43200.0
7286962	Rothrist	Aargau	Switzerland	47.298	7.885	43200.0
2659060	Rheinfelden	Aargau	Switzerland	47.554	7.794	43200.0
7286892	Rheinfelden	Aargau	Switzerland	47.556	7.804	43200.0
7286318	Lenzburg	Aargau	Switzerland	47.386	8.181	43200.0
2659952	Lenzburg	Aargau	Switzerland	47.389	8.175	43200.0
7286514	Möhlin	Aargau	Switzerland	47.563	7.854	43200.0
2658457	Suhr	Aargau	Switzerland	47.372	8.08	43200.0
2658524	Spreitenbach	Aargau	Switzerland	47.42	8.363	43200.0
7285013	Aarau	Aargau	Switzerland	47.389	8.048	43200.0
2659490	Neuenhof	Aargau	Switzerland	47.45	8.317	43200.0
